"id","url","uploaded","type","duration","createdAt","updatedAt","userId"
88,"hr5YhNZYc4Y","2019-06-05 12:03:14.497+02","youtube",10,"2019-06-05 12:03:14.497+02","2019-06-05 12:03:14.497+02",30
89,"PKtwmMU9634","2019-06-05 12:03:42.296+02","youtube",9,"2019-06-05 12:03:42.297+02","2019-06-05 12:03:42.297+02",30
90,"mBHabfjd4rU","2019-06-05 12:03:59.245+02","youtube",12,"2019-06-05 12:03:59.245+02","2019-06-05 12:03:59.245+02",30
91,"L67EyKw_RJs","2019-06-05 12:04:20.152+02","youtube",11,"2019-06-05 12:04:20.152+02","2019-06-05 12:04:20.152+02",30
92,"11eQDkbACCE","2019-06-05 12:04:44.902+02","youtube",8,"2019-06-05 12:04:44.902+02","2019-06-05 12:04:44.902+02",30
93,"h8zG6AXvJMs","2019-06-05 12:05:10.439+02","youtube",11,"2019-06-05 12:05:10.44+02","2019-06-05 12:05:10.44+02",30
94,"580fPzxBZTc","2019-06-05 12:05:27.037+02","youtube",6,"2019-06-05 12:05:27.037+02","2019-06-05 12:05:27.037+02",30
95,"EK9sCvVvxc4","2019-06-05 12:05:46.383+02","youtube",8,"2019-06-05 12:05:46.383+02","2019-06-05 12:05:46.383+02",30
96,"jldLKrTBHvw","2019-06-05 12:06:07.173+02","youtube",8,"2019-06-05 12:06:07.173+02","2019-06-05 12:06:07.173+02",30
97,"8D_2PiN0KrQ","2019-06-05 12:06:26.81+02","youtube",7,"2019-06-05 12:06:26.81+02","2019-06-05 12:06:26.81+02",30
98,"KVs3q5JPGyM","2019-06-05 12:06:41.286+02","youtube",8,"2019-06-05 12:06:41.286+02","2019-06-05 12:06:41.286+02",30
99,"Ors9jnTBYPw","2019-06-05 12:07:06.072+02","youtube",8,"2019-06-05 12:07:06.072+02","2019-06-05 12:07:06.072+02",30
100,"FhnOcl5Ikkw","2019-06-05 12:07:23.412+02","youtube",6,"2019-06-05 12:07:23.412+02","2019-06-05 12:07:23.412+02",30
101,"fvD_s3iqK_w","2019-06-05 12:07:51.02+02","youtube",10,"2019-06-05 12:07:51.02+02","2019-06-05 12:07:51.02+02",30
102,"fvD_s3iqK_w","2019-06-05 12:07:53.484+02","youtube",10,"2019-06-05 12:07:53.484+02","2019-06-05 12:07:53.484+02",30
103,"5OoRYLiTTGY","2019-06-05 12:40:41.271+02","youtube",365,"2019-06-05 12:40:41.271+02","2019-06-05 12:40:41.271+02",2
104,"VIEK6VKjT88","2019-06-05 12:47:42.403+02","youtube",2429,"2019-06-05 12:47:42.403+02","2019-06-05 12:47:42.403+02",3
105,"YALk76OKm-8","2019-06-05 12:52:30.48+02","youtube",190,"2019-06-05 12:52:30.48+02","2019-06-05 12:52:30.48+02",3
106,"V6Z_0-wDCbA","2019-06-05 12:54:11.678+02","youtube",1501,"2019-06-05 12:54:11.678+02","2019-06-05 12:54:11.678+02",2
107,"hxyV0_u56rU","2019-06-05 13:05:28.076+02","youtube",377,"2019-06-05 13:05:28.076+02","2019-06-05 13:05:28.076+02",3
108,"H_kP9nBLzNk","2019-06-05 13:11:29.141+02","youtube",133,"2019-06-05 13:11:29.141+02","2019-06-05 13:11:29.141+02",3
109,"f-k0FoJVYts","2019-06-05 13:46:02.469+02","youtube",147,"2019-06-05 13:46:02.469+02","2019-06-05 13:46:02.469+02",3
110,"750BD72Od7s","2019-06-05 14:07:16.73+02","youtube",273,"2019-06-05 14:07:16.73+02","2019-06-05 14:07:16.73+02",3
111,"mRDYHo0xz7k","2019-06-05 20:44:21.185+02","youtube",1655,"2019-06-05 20:44:21.185+02","2019-06-05 20:44:21.185+02",3
112,"Wp5r9KV92TQ","2019-06-05 20:53:43.598+02","youtube",1770,"2019-06-05 20:53:43.598+02","2019-06-05 20:53:43.598+02",3
113,"Gqj33FOEt5g","2019-06-05 21:35:33.719+02","youtube",446,"2019-06-05 21:35:33.719+02","2019-06-05 21:35:33.719+02",3
114,"mTGvcJB89Zk","2019-06-05 21:52:11.192+02","youtube",316,"2019-06-05 21:52:11.192+02","2019-06-05 21:52:11.192+02",2
115,"hN5jUnobDwc","2019-06-05 21:54:02.511+02","youtube",430,"2019-06-05 21:54:02.511+02","2019-06-05 21:54:02.511+02",3
116,"hN5jUnobDwc","2019-06-05 21:59:03.38+02","youtube",430,"2019-06-05 21:59:03.38+02","2019-06-05 21:59:03.38+02",3
117,"GC1Z80ACan4","2019-06-07 18:59:52.827+02","youtube",265,"2019-06-07 18:59:52.828+02","2019-06-07 18:59:52.828+02",2
