"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
196,72,72,32,120,"2019-07-06 20:47:41.113+02","joke","2019-07-06 20:47:41.114+02","2019-07-13 12:02:39.965+02",188,206,3
198,254,254,0,191,"2019-07-06 20:56:26.145+02","factChecker","2019-07-06 20:56:26.145+02","2019-07-06 20:56:26.145+02",194,208,3
203,12,12,0,137,"2019-07-06 21:48:55.321+02","neutral","2019-07-06 21:48:55.322+02","2019-07-06 21:48:55.322+02",,213,3
204,20,20,0,375,"2019-07-06 21:51:52.256+02","neutral","2019-07-06 21:51:52.256+02","2019-07-06 21:51:52.256+02",,214,3
205,53,53,0,137,"2019-07-06 21:55:42.825+02","factChecker","2019-07-06 21:55:42.825+02","2019-07-06 21:55:42.825+02",206,215,3
207,63,63,0,375,"2019-07-06 22:00:22.779+02","joke","2019-07-06 22:00:22.779+02","2019-07-07 12:27:49.063+02",206,217,3
209,344,344,242,306,"2019-07-07 12:19:27.075+02","neutral","2019-07-07 12:19:27.075+02","2019-07-07 12:19:27.075+02",4,219,3
210,15,15,0,868,"2019-07-07 12:27:25.476+02","factChecker","2019-07-07 12:27:25.476+02","2019-07-07 12:27:25.476+02",217,220,3
211,15,15,0,67,"2019-07-07 12:30:35.285+02","joke","2019-07-07 12:30:35.285+02","2019-07-07 21:58:05.971+02",217,221,3
212,13,13,0,127,"2019-07-07 12:34:54.938+02","joke","2019-07-07 12:34:54.938+02","2019-07-07 14:17:44.953+02",217,222,3
213,110,110,0,1501,"2019-07-07 12:41:18.521+02","factChecker","2019-07-07 12:41:18.521+02","2019-07-07 12:41:18.521+02",220,223,3
219,72,72,0,474,"2019-07-07 20:52:32.952+02","factChecker","2019-07-07 20:52:32.952+02","2019-07-07 20:52:32.952+02",201,229,3
221,59,59,14,411,"2019-07-07 21:21:01.648+02","factChecker","2019-07-07 21:21:01.648+02","2019-07-08 11:49:19.854+02",222,231,3
222,195,195,0,411,"2019-07-07 21:26:54.989+02","factChecker","2019-07-07 21:26:54.989+02","2019-07-07 21:26:54.989+02",231,232,3
223,20,20,12,144,"2019-07-07 21:41:41.39+02","neutral","2019-07-07 21:41:41.391+02","2019-07-07 21:41:41.391+02",,233,2
224,56,56,5,830,"2019-07-07 21:45:35.741+02","contra","2019-07-07 21:45:35.741+02","2019-07-07 21:46:20.871+02",221,234,3
